,title,release_date,genre,platforms,developer,esrb_rating,ESRBs,metascore,userscore,critic_reviews,user_reviews,num_players,summary
2079,Shogun: Total War,"Jun 13, 2000","Strategy, Turn-Based, Real-Time, Historic, Historic, General, Historic",PC,Creative Assembly,T,Animated Blood Animated Violence,84,8.4,24,120,1-8 Players,"Japan, 1542. The land is in turmoil. The last Shogunate has collapsed, leaving the nation divided into seven warring factions. Out of this chaos will emerge one warlord who will master the Art Of War.  [Electronic Arts]"
2080,Bayonetta,"Feb 16, 2018","Action Adventure, Linear",Switch,"Nintendo, PlatinumGames",M,,84,8.2,23,214,1 Player,"Bayonetta is a cinematic and stylish action game from the creative mind of Hideki Kamiya. As a gun-wielding witch with powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless enemies in a game of 100% pure all-out action. Outlandish finishing moves are performed with acrobatic grace as Bayonetta flows from one fight to another. Bayonetta pushes the limits of the action genre with magnificent over-the-top action and fast-paced, dynamic climax combat."
2081,Outland,"Apr 27, 2011","Action, Platformer, Platformer, 3D, 2D",Xbox 360,Housemarque,E10+,Fantasy Violence,84,7.4,55,59,1 Player,"Outland puts players in the middle of a world of balance and chaos where their efforts allow them to bridge the ancient divide, or doom the world to destruction. Each player’s adventure will take them between light and darkness and force them to adapt to an ever-changing world. This light versus dark core gameplay is inspired by the arcade classic Ikaruga."
2082,Mega Man X Legacy Collection,"Jul 24, 2018","Miscellaneous, Compilation",Switch,"Capcom, M2",T,,84,8.3,16,85,1 Player,"Mega Man X Legacy Collection includes Mega Man X, X2, X3, and X4 "
2083,Rayman Legends: Definitive Edition,"Sep 12, 2017","Action, Platformer, 2D",Switch,"Ubisoft Montpellier, Pasta Games",E10+,,84,8.4,35,247,1 Player,"Rayman, winner of multiple artistic and musical achievements, is coming to Nintendo Switch with Rayman Legends Definitive Edition.

Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump, and fight their way through each world to save the day and discover the secrets of every legendary painting.

*    Join the team with up to 4 players in local co-op!
*    Compete with your friends in tournaments with the Kung Foot experience (local wireless multiplayer)
*    Run, jump & smack your way through 100+ maps
*    Jump to the rhythm and rock the party to beat the crazy musical levels"
2084,Shin Megami Tensei: Devil Survivor 2 Record Breaker,"May  5, 2015","Role-Playing, General, Strategy, Turn-Based, Tactics",3DS,Atlus,T,,84,5.3,37,267,1 Player,"Your days are numbered. Your character in Shin Megami Tensei: Devil Survivor 2 Record Breaker is stuck in a world that has been invaded and is on the brink of non-existence. At the same time, you and your friends have gained the ability to summon demons via your cell phone, and with it, a power to fight against fate. The countdown begins; will you be able to save the future of mankind?"
2085,Gears of War 4,"Oct 11, 2016","Sci-Fi, Action, Shooter, Third-Person, Arcade",Xbox One,The Coalition,M,,84,7.0,99,1623,Up to 10 Players,"A new saga begins. After narrowly escaping an attack on their village, JD Fenix and his friends, Kait and Del, must rescue the ones they love and discover the source of a monstrous new enemy. Engage in a two-player co-op campaign with friends locally via split-screen, over Xbox Live or LAN. Player 2 can select either Kait or Del. Team up with four others and battle wave after wave of increasingly difficult enemies by choosing your combat class, leveling up your skills and deploying fortifications anywhere on the map. Compete online in new and favorite game types, all at 60fps on dedicated servers. A new visible ranking system means fairer matchmaking for social, competitive and professional players alike. [Xbox.com]"
2086,Mass Effect 3: Citadel,"Mar  5, 2013","Role-Playing, Action RPG, Action RPG",Xbox 360,BioWare,M,Blood Partial Nudity Sexual Content Strong Language,84,8.2,19,213,1 Player,"When a sinister conspiracy targets Commander Shepard, you and your team must uncover the truth, through battles and intrigue that range from the glamour of the Citadel's Wards to the top-secret Council Archives.  Uncover the truth and fight alongside your squad - as well as the cast from the original Mass Effect and Mass Effect 2, including Urdnot Wrex!"
2087,Halo 5: Guardians,"Oct 27, 2015","Shooter, Sci-Fi, Sci-Fi, Action, Shooter, First-Person, Arcade",Xbox One,343 Industries,T,,84,6.4,101,3606,Up to 24 Players,"Peace has been devastated as colony worlds are unexpectedly attacked. What's more, when humanity's greatest hero goes missing, a new Spartan is assigned the task of hunting the Master Chief and solving a mystery that threatens the whole of the galaxy."
2088,DiRT,"Jun 19, 2007","Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",PC,Codemasters,E,Alcohol Reference Mild Language Mild Violence,84,7.3,20,117,"1-2 Players, 2 Players Online","(Formerly known as ""Colin McRae Rally 2007"" or ""CMR '07"")  After a two-year break for the series, Codemasters Studios' designers have created a reinvigorated McRae experience. The new Colin McRae title goes beyond the series' point-to-point rallying to deliver the most diverse selection of extreme off-road competitions. Sensational gravel, mud and dirt racing events from the world over include perilous Hill Climb and collision-packed Rally Cross events. International rallying competitions are also featured, with official cars on tracks based on real roads and locations around the globe. The title also expands on beat-the-clock racing and includes events with multiple cars on track to satisfy anyone who wants to push their on-the-edge driving just that bit further. [Codemasters]"
2089,SNK vs. Capcom: Card Fighters' Clash,"Jan 12, 2022","Strategy, Turn-Based, Card Battle",Switch,SNK,E,,84,3.4,16,5,1 Player,"Characters from SNK and CAPCOM clash in this epic card fighting game!

Introducing! SNK VS. CAPCOM: CARD FIGHTERS' CLASH, a white-hot card fighting game for the NEOGEO POCKET COLOR (released in 1999), is coming to Nintendo Switch™!

Back then, SNK VS. CAPCOM: CARD FIGHTERS' CLASH was sold as two separate games; the SNK Cardfighter's Version and the CAPCOM Cardfighter's Version. But now, both have been combined into one game! There's nothing stopping you from collecting all the cards!

-SNK icons like Terry, Nakoruru, and Marco clash against CAPCOM legends Ryu, Chun-Li, and Mega Man in this insane card fighter!

-There are 300 cards in total, where characters from both SNK and CAPCOM appear as Character Cards for fighting, and Action Cards for support during battle. Go out there and make the strongest fighting deck in the world!

-You can trade between both the SNK and CAPCOM Cardfighters' Versions. What's more, you can even use their individual save data to have them battle each other!

*You may switch between the SNK Cardfighter's Version and CAPCOM Cardfighter's Version at any time, but each has their own save data.

*You may switch between the Japanese and English versions at any time, but each has their own save data.

*Trading between Japanese and English versions is not possible.

*The manual included in the game it is from the NEOGEO POCKET Color edition. Therefore, some of the controls may vary on Nintendo Switch.
"
2090,F1 2017,"Aug 25, 2017","Racing, Simulation, Automobile",Xbox One,Codemasters,E,,84,7.3,17,35,Up to 20 Players,"Win the 2017 World Championship, break every record in the fastest ever F1 cars, and race some of the most iconic F1 cars of the last 30 years. The game sports an even deeper ten year Career, more varied gameplay in the new ‘Championships’ mode, and a host of other new features, both online and offline."
2091,Super Street Fighter IV: Arcade Edition,"Jul  7, 2011","Action, Fighting, Fighting, 3D, 2D, 3D",PC,"Capcom, QLOC",T,Alcohol Reference Mild Language Suggestive Themes Violence,84,7.7,11,160,2 Players,"Super Street Fighter IV Arcade Edition features a roster of 39 characters, with 4 new characters added."
2092,NBA 2K7,"Sep 25, 2006","Sports, Traditional, Team, Basketball, Sim, Sim",Xbox 360,"Kush Games, Visual Concepts",E,,84,7.8,46,68,"1-4 Players, 8 Players Online Up to 8 Players",Be a Sharpshooter - The award winning technical achievement of 2K6 is new and improved. Take complete control of all of your shots with the shot stick. Run the Streets - Hit the street courts and showcase your playground game with completely all new streetball mode. Virtual Identity Profile - Learn the play style of your friends and foes with the V.I.P. System. The Association - Be the GM of your NBA team with the deepest Franchise Mode around. [2K Sports]
2093,TOCA Race Driver 3,"Feb 22, 2006","Driving, General",Xbox,Codemasters,E10+,Language Suggestive Themes,84,8.0,25,6,"1-2 Players, 12 Players Online","The TOCA racing series returns for a third go with numerous improvements over its predecessors. TOCA Race Driver 3 features upgraded artificial intelligence, a spectator mode, rivalries, and 35 racing styles. There are more than 80 cars to choose from, each with finely tuned performance variables. You can progress across all disciplines or specialize in one of the six, including touring, GT, and rally. TOCA Race Driver 3 is also online-compatible, letting you challenge other gamers around the globe."
2094,NBA 2K6,"Sep 26, 2005","Sports, Traditional, Basketball, Sim",Xbox,Visual Concepts,E,,84,8.1,27,17,"1-4 Players, 10 Players Online","NBA 2K6 is a 3D simulation that lets you play as a professional basketball player both on and off the court. Build a player and take him through training camps, competitions and NBA games. The more successful you are, the more you can customize a player's home, buy music, unlock minigames, and land an endorsement deal. The game also includes a comprehensive franchise modeand online play. Different players and coaches exhibit different personalities and tendencies, adding depth to the team-building process."
2095,Day of the Tentacle Remastered,"Mar 22, 2016","Adventure, Point-and-Click",PlayStation 4,Double Fine Productions,T,,84,7.3,18,145,1 Player,"Originally released by LucasArts in 1993 as a sequel to Ron Gilbert’s Maniac Mansion, Day of the Tentacle is a mind-bending, time travel, cartoon puzzle adventure game in which three unlikely friends work together to prevent an evil mutated purple tentacle from taking over the world. Over 20 years later, Day of the Tentacle is back in a remastered edition that features all new hand-drawn, high resolution artwork, with remastered audio, music and sound effects. Players can switch back and forth between classic and remastered modes, and mix and match audio, graphics and user interface to their heart’s desire. We’ve also included a concept art browser, and recorded a commentary track with the game’s original creators. [Playstation.com]"
2096,Assassin's Creed Valhalla,"Nov 10, 2020","Action Adventure, Open-World",Xbox Series X,Ubisoft Montreal,,,84,7.8,46,1003,1 Player,"Build your own Viking Legend. Become Eivor, a Viking raider raised to be a fearless warrior, and lead your clan from icy desolation in Norway to a new home amid the lush farmlands of ninth-century England. Find your settlement and conquer this hostile land by any means to earn a place in Valhalla. England in the age of the Vikings is a fractured nation of petty lords and warring kingdoms. Beneath the chaos lies a rich and untamed land waiting for a new conqueror. Will it be you? Write Your Viking Saga. Blaze your own path across England with advanced RPG mechanics. Fight brutal battles, lead fiery raids or use strategy and alliances with other leaders to bring victory. Every choice you make in combat and conversation is another step on the path to greatness. Lead Epic Raids. Lead a crew of raiders and launch lightning-fast surprise attacks against Saxon armies and fortresses. Claim the riches of your enemies' lands for your clan and expand your influence far beyond your growing settlement. ENGAGE IN VISCERAL COMBAT. Unleash the ruthless fighting style of a Viking warrior as you dual-wield axes, swords, or even shields against relentless foes. Decapitate opponents in close-quarters combat, riddle them with arrows, or assassinate them with your Hidden Blade. Grow Your Settlement. Your clan's new home grows with your legend. Customise your settlement by building upgradable structures. Unlock new features and quests by constructing a barracks, a blacksmith, a tattoo parlour, and much more. Share Your Custom Raider. Recruit mercenary Vikings designed by other players or create and customise your own to share online. Sit back and reap the rewards when they fight alongside your friends in their game worlds. A Dark Age Open World. Sail across the icy North Sea to discover and conquer the broken kingdoms of England. Immerse yourself in activities like hunting and drinking games or engage in traditional Norse competitions like flyting – or, as it's better known, verbally devastating rivals through the art of the Viking rap battle. [Ubisoft]"
2097,Football Manager 2012,"Oct 20, 2011","Sports, Traditional, Team, Football, Soccer, Management, Management",PC,Sports Interactive,E,,84,7.9,45,198,1 Player,"Counting over 800 new features, not including changes to the rules of the games 50+ leagues, Football Manager 2012 promises to be the most realistic, immersive and playable football management simulation ever for any fan who has ever dreamed of making the big decisions, both on and off the field."
2098,The Elder Scrolls V: Skyrim,"Nov 17, 2017","Role-Playing, Western-Style",Switch,"Bethesda Game Studios, Iron Galaxy Studios",M,,84,8.3,63,636,1 Player,"The open-world adventure from Bethesda Game Studios where you can virtually be anyone and do anything, now allows you to go anywhere—at home and on the go. New features include motion controls, gear based on the Legend of Zelda series, and amiibo compatibility. Dragons, long lost to the passages of the Elder Scrolls, have returned and the future of Skyrim hangs in the balance. As Dragonborn, the prophesized hero born with the power of The Voice, you are the only one who can stand against them. Live another life, in another world—from battling ancient dragons, exploring rugged mountains, building a home, or mastering hundreds of weapons, spells and abilities. For the first time ever, go into battle Legend of Zelda style: fight with the Master Sword, guard with the Hylian Shield, while wearing the Champion's Tunic. The game also includes official add-ons—Dawnguard, Hearthfire, and Dragonborn. [Nintendo]"
2099,ZEN Pinball 2: South Park: Super-Sweet Pinball,"Oct 14, 2014","Action, Miscellaneous, Parlor, Pinball",PlayStation 4,Zen Studios,E10+,,84,6.0,13,28,1 Player,"Join Stan, Kyle, Cartman, Kenny, and Butters in two pinball tables inspired by everyones favorite mountain town, South Park! Meet characters from the TV show, like Wendy, Timmy, Jimmy, Mr. Hankey, and even ManBearPig (super cereal, you guys) and relive great moments from episodes of the show, including the Sarcastaball and Imaginationland. So, come on down to South Park and see if you cant unwind!"
2100,Trine 2: Director's Cut,"Nov 18, 2012","Action, Platformer, Platformer, 2D, 2D",Wii U,"Frozenbyte, Inc.",E10+,Animated Blood Fantasy Violence,84,7.9,25,110,1 Player,"Trine 2: Director's Cut, exclusively for Wii U, features a total of 20 levels full of adventure, including the high-acclaimed Goblin Menace expansion campaign and the exclusive ""Dwarven Caverns"" level, making Trine 2: Director's Cut the most comprehensive package of Trine 2 on any platform."
2101,Devil May Cry 4,"Feb  5, 2008","Action, Action Adventure, Shooter, Fantasy, General, Fantasy, Linear, Third-Person, Fantasy",Xbox 360,Capcom,M,Blood Language Sexual Themes Violence,84,8.4,61,353,1 Player,"Fear resonates in the underworld as a new protagonist crosses paths with a familiar hero who seemingly inexplicably slaughters countless people. Long ago the Dark Knight Sparda awoke to justice and rebelled against the dark emperor, to wage a one-man war to save humanity. Thousands of years later, a religious organization worships this renowned savior and has taken it upon themselves to rid the world of all demons. Residing in Fortuna, a castle city on the coast, this ""Order of the Sword"" has an elite group of ""Holy Knights"" dedicated to carrying out this very creed. Rising among the ranks, a young cynical warrior named Nero witnesses Sparda's legendary son Dante slaughter countless ""knights"". Has the renowned devil hunter turned his back on mankind? What does this encounter mean for these two individuals and why has destiny brought them together? In Devil May Cry 4, players control the formidable Nero who comes to grips with his newly found power as his beliefs and allegiance are tested. Continuing the legacy of fast paced action synonymous with the series, Devil May Cry 4 pushes the envelope of excellence even further with the inclusion of a new combat system that incorporates Nero's ""Devil Bringer"". This new feature has players delivering overwhelming damage to enemies with non-stop combos, while gaining new power for Nero's right arm. [Capcom]"
2102,The Incredible Hulk: Ultimate Destruction,"Aug 23, 2005","Action Adventure, Sci-Fi",Xbox,Radical Entertainment,T,Language Violence,84,8.0,47,25,1 Player,"The Incredible Hulk: Ultimate Destruction is an action game that lets you play as The Incredible Hulk, one of the most powerful Marvel superheroes. Now you can use the Hulk's strength to run, jump, and climb anywhere across landscapes from the comic series. You can increase your strength and unlock more moves by completing more than 30 story missions and 40 side missions. The game's destructible environments can help you fight bosses, gain weapons, and destroy buildings. "
2103,Guitar Hero: Metallica,"Mar 29, 2009","Action, Miscellaneous, Rhythm, Music, Music",Xbox 360,Neversoft Entertainment,T,Lyrics Mild Suggestive Themes,84,8.0,62,89,1 Player,"Guitar Hero: Metallica takes music fans through the band’s fabled library of songs, plus the music and musicians who influence them. When the house lights go down, virtual rock stars across the globe will shred, drum and wail to an explosive set list featuring over 45 tracks from Metallica’s illustrious career and a wide variety of other legendary artists personally selected by the band, such as Queen, Foo Fighters, Bob Seger, Lynyrd Skynyrd, Slayer and Judas Priest. Featuring tracks from every Metallica studio album, the complete Guitar Hero Metallica on-disc set list includes their following hits: All Nightmare Long, Battery, Creeping Death, Disposable Heroes, Dyers Eve, Enter Sandman, Fade To Black, Fight Fire With Fire, For Whom The Bell Tolls, Frantic, Fuel, Hit The Lights, King Nothing, Master of Puppets, Mercyful Fate, No Leaf Clover, Nothing Else Matters, One, Orion, Sad But True, Seek And Destroy, The Memory Remains, The Shortest Straw, The Thing That Should Not Be, The Unforgiven, Welcome Home (Sanitarium), Wherever I May Roam, and Whiplash. Complementing Metallica’s intensity are 21 rockin’ tracks personally chosen by the band, including ""War Ensemble"" by Slayer. [Activision]"
2104,Guild Wars Factions,"Apr 28, 2006","Role-Playing, Miscellaneous, General, General, Compilation, Massively Multiplayer",PC,ArenaNet,T,Suggestive Themes Use of Alcohol Violence,84,8.4,39,142,64+ Players Online,"The stand-alone Guild Wars Factions is the second campaign in ArenaNet's massively multiplayer online role-playing game. The Factions campaign, which can be played either connected with the regular Guild Wars or as its own separate game, includes new regions (with an entire new continent), professions, skills, missions, and monsters, along with expanded options for both Cooperative and Player-versus-Player (PvP) play, and enhanced features for guilds. New content includes a number of the skills added to Guild Wars: Factions, including some of the deadly skills of the Assassin and the arcane spells of the spiritual Ritualist. Factions will also introduce a new PvP continent, Battle Isles. Battle Isles will introduce players to new PvP experiences, new and expanded arenas, new quests and a new explorable area as well. [NCsoft]"
2105,Guacamelee!,"Apr  9, 2013","Action, Platformer, Platformer, 2D, 2D,",PlayStation 3,DrinkBox Studios,E10+,,84,7.8,51,197,1 Player,"Guacamelee! is a Metroid-vania style action-platformer set in a magical Mexican inspired world.

The game draws its inspiration from traditional Mexican culture and folklore, and features many interesting and unique characters. Guacamelee builds upon the classic open-world Metroid-vania style of games, by adding a strong melee combat component, a new dimension switching mechanic, and cooperative same-screen multiplayer for the entire story. The game also blurs the boundaries between combat and platforming by making many of the moves useful and necessary for both of these."
2106,F1 2018,"Aug 24, 2018","Racing, Simulation, Automobile",Xbox One,Codemasters,E,,84,8.0,18,41,Up to 20 Players,"The 2018 season sees the return of the French Grand Prix for the first time since 2008, at the Circuit Paul Ricard, which last hosted the French Grand Prix in 1990. The German Grand Prix also returns to the Championship after not featuring last year, with the Hockenheimring hosting the race in July. F1 2018 features all of the official teams, the drivers and circuits of the 2018 season. [Codemasters]"
2107,Gorogoa,"Dec 14, 2017","Puzzle, General",PC,"Jason Roberts, Buried Signal",,,84,8.3,32,160,1 Player,"Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts."
2108,No More Heroes 2: Desperate Struggle,"Jan 26, 2010","Action, Beat-'Em-Up, Beat-'Em-Up, 3D",Wii,Grasshopper Manufacture,M,Blood and Gore Intense Violence Partial Nudity Sexual Themes Strong Language,84,8.8,68,248,1 Player,"No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin. Travis finds himself at the bottom of the UAA (United Assassins Association) rankings and must wage war to become the No. 1 assassin once again. The follow-up to the popular No More Heroes will offer fans infectious, fun gameplay that allows you to wield not just one, but two swords and face multiple bosses simultaneously in bigger-than-ever boss battles. [Ubisoft]"
2109,LEGO Star Wars II: The Original Trilogy,"Sep 12, 2006","Action Adventure, Sci-Fi",PlayStation 2,Traveller's Tales,E10+,Cartoon Violence Crude Humor,84,8.7,32,79,1-2 Players,"LEGO Star Wars II takes the fun and customization ability of the LEGO play pattern and combines it with the epic story, characters and action from the revolutionary Star Wars: Episodes IV, V and VI. With a unique tongue-in-cheek take on the Original Trilogy, LEGO Star Wars II lets you build and battle your way through your favorite film moments. From Darth Vader's pursuit of Princess Leia aboard her Blockade Runner to Luke's final confrontation with Emperor Palpatine. For the first time ever, characters can get in and out of vehicles, as well as ride creatures. Because it's LEGO style, you can also mix and match the body parts of more than 50 playable characters to create one of millions of possible LEGO Star Wars heroes. And on PS2, Xbox and Windows platforms, a game save from the first LEGO Star Wars can unlock another 50-plus additional characters for Free Play mode -- that's more than 100 total characters. Other exciting additions include free-roaming vehicle levels, the ability to switch ships at will in Free Play mode, cool new character-specific attacks and maneuvers, playable mini-kit vehicles, an adaptive difficulty option and more. [LucasArts]"
2110,Yakuza: Like a Dragon,"Nov 10, 2020","Role-Playing, Japanese-Style",PlayStation 4,Ryu ga Gotoku Studios,M,,84,8.1,54,428,1 Player,"RISE LIKE A DRAGON. Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan."
2111,Battle Chasers: Nightwar,"Oct  3, 2017","Role-Playing, Action RPG, Japanese-Style",Xbox One,Airship Syndicate Entertainment,T,,84,7.1,8,55,1 Player,"Battle Chasers: Nightwar is an RPG inspired by the console genre-greats and the 90’s cult comic book. Experience deep dungeon diving, turn-based combat presented in classic JRPG format, and a story driven by exploration of the world."
2112,NBA 2K14,"Oct  1, 2013","Sports, Traditional, Team, Basketball, Sim, Sim",PlayStation 3,Visual Concepts,E,,84,5.1,26,152,Up to 10 Players,"Face off against opposing crews online using your MyPLAYER. Create your logo and face off in 5v5 battles with other crews featuring leaderboards and stats. Play with 14 of the top European teams, featuring authentic uniforms and players. Player attributes and tendencies automatically update daily to reflect true life hot and cold streaks. Now, each game played in the NBA can have an effect on your game. "
2113,Darkest Dungeon,"Jan 19, 2016","Role-Playing, General",PC,Red Hook Studios,,,84,7.9,56,745,1 Player,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?"
2114,Sid Meier's Civilization Revolution,"Jul  8, 2008","Strategy, Turn-Based, Historic, General, Historic",Xbox 360,Firaxis Games,E10+,Alcohol and Tobacco Reference Mild Suggestive Themes Violence,84,8.0,55,191,"1-4 Players, 4 Players Online Up to 4 Players","Civilization Revolution offers players a chance to experience the epic empire-building world of Civilization in an all new accessible, visually immersive, and action-packed world specifically designed for the console and handheld gamer. Delivering Civilization's renowned epic single-player campaigns featuring vast re-playability and unmatched addictive gameplay as well as revolutionary features like real-time interaction with leaders and advisors, extensive multiplayer capabilities and integrated video and voice chat, it transports the Civilization series to a level of gameplay that fans have never seen before. Some of the key features that resonate with fans of strategy games and the Civilization franchise include 16 civilizations to master and lead to victory, an array of famous historical leaders to play as or compete against, and accessible maps and streamlined time scale for quicker games, intense combat, and constant action. In online multiplayer mode, players compete for world conquest and glory among their peers as they battle in teams, head-to-head or epic free-for-all matches. In addition, auto-matching, ranked games, leaderboards, achievements, downloadable extra content and integrated video and voice chat make the online play more versatile and fun than any previous version of Civilization and will allow players to see where they stand against the competition. Finally, the position of ruler of the world can be settled online. [2K Games]"
2115,Overcooked! All You Can Eat,"Nov 12, 2020","Miscellaneous, Compilation",PlayStation 5,Ghost Town Games Ltd.,E,,84,6.9,13,29,Up to 4 Players,"Overcooked! All You Can Eat sees Overcooked! and Overcooked! 2 blended together with all additional content and remastered up to 4K in a delicious definitive edition. Making use of the power of the PS5, Overcooked! AYCE offers stunning 4K visuals, cross-platform multiplayer, and rapid loading times — meaning more time for culinary carnage! "
2116,Yooka-Laylee and the Impossible Lair,"Oct  8, 2019","Action, Platformer, 2D",Xbox One,Playtonic Games,E,,84,6.4,15,51,1 Player,"Yooka & Laylee are back in a brand-new platform hybrid adventure. They must run, jump and roll their way through a series of challenging 2D levels, face a puzzling Overworld and rally the Royal Bee-tallion to take down Capital B and his Impossible Lair. 
* The overworld isn't just a hub to hop from level to level, it provides a whole separate gaming experience. Explore and unlock more 2D levels by completing objectives and puzzles, rescue Royal Bees and find collectibles.
* Alternate Level States. Think you've got a level figured out? Try it in its alternate state! Flip switches in the overworld to create new landscapes.
* Bee-at the Impossible Lair. Players are free to tackle Capital B's Impossible Lair at any time; however, they may find it too much of a challenge without the help of the Royal Bee Guards."
2117,DiRT Rally 2.0,"Feb 26, 2019","Racing, Simulation, Automobile",PlayStation 4,Codemasters,E,,84,5.9,34,180,Up to 8 Players,"DiRT Rally 2.0 dares you to carve your way through a selection of iconic rally locations from across the globe, in the most powerful off-road vehicles ever made, knowing that the smallest mistake could end your stage. You will need to rely on your instincts with the most immersive and truly focused off-road experience yet, including a new authentic handling model, tyre choice and surface deformation.

Power your rally car through real-life off-road environments in New Zealand, Argentina, Spain, Poland, Australia and the USA, with only your co-driver and instincts to guide you. Race on eight official circuits from the FIA World Rallycross championship, complete with licensed Supercars and support series. Develop your team and cars around race strategies, and progress through a varied selection of Events and Championships in both a single player Career Campaign and a competitive online environment."
2118,SoulCalibur VI,"Oct 19, 2018","Action, Fighting, 3D",Xbox One,"Bandai Namco Games, Project Soul",T,,84,5.3,19,139,2 Players,"History Hides Away More Than One Truth... SOULCALIBUR VI represents the latest entry in the premier weapons-based, head-to-head fighting series and continues the epic struggle of warriors searching for the legendary Soul Swords. Taking place in the 16th century, revisit the events of the original SOULCALIBUR to uncover hidden truths. [Bandai Namco]"
2119,80 Days (2015),"Sep 29, 2015","Adventure, Visual Novel",PC,"inkle, Cape Guy",,,84,7.4,8,40,1 Player,"1872, with a steampunk twist. Phileas Fogg has wagered he can circumnavigate the world in just eighty days. Choose your own route around a 3D globe, travelling by airship, submarine, mechanical camel, steam-train and more, racing other players and a clock that never stops."
2120,Spore,"Sep  7, 2008","Strategy, Breeding/Constructing, General, Breeding/Constructing",PC,Maxis,E10+,Animated Blood Comic Mischief Fantasy Violence,84,5.7,75,2035,1 Player,"From the mind of Will Wright comes SPORE, a journey that takes you from the origin and evolution of life through the development of civilization and technology and eventually all the way into the deepest reaches of outer space. Begin your odyssey at the dawn of life as a simple microbe just trying to survive, then use the fun, intuitive Editors to evolve the creature from its microscopic origins into an intelligent, tool-using race. Guide your species as it builds (and the player designs) villages, buildings, cities, and vehicles. Along the way to becoming a global civilization you can choose whether to hunt or forage, attack or trade, be nice or play rough. All the action takes place in a huge, lush world populated with creatures evolved by other players and shared over SPORE's central servers. When it's ready, your one-time pond scum launches into space in its UFO on a grand voyage of discovery, planet forming, or destruct-ion. As you explore and play in this limitless universe of unique worlds, your personal Sporepedia tracks all the creatures you've met and places you've visited. Take complete control of your creature's fate as you guide it through the following six evolutionary phases: Tidepool phase: Fight with other creatures and consume them to adjust the form and abilities of your creature. It's survival of the fittest at the most microscopic level. Creature phase: Venture onto dry land and help your creature learn and evolve with forays away from your safe haven. Carnivore or Herbivore? Social or Independent? The choice is yours. Tribal phase: Instead of controlling an individual creature, you are now caring for an entire tribe of your genetic craftwork. Give them tools and guide their interactions as you slowly upgrade their state of existence. City phase: Bring your creatures' race into a new golden era by building up the technology, architecture, and infrastructure of their city. Civilization phase: Once your city is established, your creatures begin seeking out and interacting with other cultures. You can have them do so with an olive branch or a war cry—either way, the goal for your creatures is to unify the planet. Space phase: The time has come to move on to other worlds in your solar system. Make first-contact, colonize, or terraform, then venture further to find other solar systems scattered throughout a magnificently rendered galaxy. A 'mission' structure provides new goals and paths to follow as you begin to spread through the universe. [Electronic Arts]"
2121,Shovel Knight Pocket Dungeon,"Dec 13, 2021","Puzzle, Action",PC,Vine,,,84,7.7,17,9,1 Player,"Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other. Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other! Join your mysterious guide Puzzle Knight as you shovel through scads of foes, procure new equipment, and battle bosses both familiar and new. Explore a tale with endless twists and turns, quest as your favorite heroes, and even challenge a friend for fast-paced head-to-head competition in Shovel Knight Pocket Dungeon!

    Enter a world of falling block puzzle games, with a dungeon-crawling twist! Bump into enemies to battle them and trade damage in a unique combat system. An all-new hybrid that’s never been seen before. Group foes together for massive chain attacks while grabbing keys, power-ups, and potions to refill your health!
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Equip yourself on the fly with a treasure trove of items and equipment. Mix and match your loadout to prepare for any encounter.
    Play in a variety of ways with Story Mode, 2 player competitive Versus Mode, a Daily Challenge, and much more!
    A bold new visual style complements a new story. Learn the ropes from your pal Puzzle Knight as you attempt to escape the mysterious Pocket Dungeon. Shovel Knight’s signature storytelling and humor are on full display!
    Using your Shovel Knight series Amiibo allows you to call upon a familiar fairy friend to keep you company on your perplexing puzzle adventure!"
